
Minimum & Actial costs of Hospitals in the COS and C technologies

DMU            C            COS         NC=CIS=WACM     Actual Cost
j244       2140.748       3334.071       3934.002       3934.002
j245       2663.101       3206.001       3206.001       3206.001
j246       1928.556       2032.997       2032.997       2032.997
j247       1966.803       2504.000       2504.000       2504.000
j248       1563.882       2242.204       2578.938       3062.001
j249       1180.075       1897.526       2566.002       2566.002
j250       1484.529       2382.589       2382.589       2449.003
j251       1699.001       1699.001       1699.001       1699.001
j252       1566.289       2309.204       2915.003       2915.003
j253       2012.669       2345.001       2345.001       2345.001
j254       2475.487       2556.999       2556.999       2556.999
j255       2037.444       2625.003       2625.003       2625.003
j256       2814.877       3034.999       3034.999       3034.999
j257       6172.078       6932.009       6932.009       6932.009
j258       4426.647       5003.003       5003.003       5003.003
j259       4888.001       4888.001       4888.001       4888.001
j260       2511.161       3163.935       4315.999       4315.999
j261       2036.388       2949.430       2949.430       4005.997
j262       2944.448       3924.043       4615.003       4615.003
j263       3130.764       4503.740       4942.003       4942.003
j264       2897.152       4519.012       4519.012       4519.012
j265       2345.655       3380.387       5028.007       5934.993
j266       1762.152       2220.031       3686.996       3686.996
j267       4078.997       4078.997       4078.997       4078.997
j268       3823.922       5205.003       5205.003       5205.003
j269       2711.397       3995.001       3995.001       3995.001
j270       2853.551       4501.759       4508.998       4508.998
j271       1748.556       2368.520       3827.999       3827.999
j272       3978.962       5160.293       5234.996       5234.996
j273       3537.210       4698.366       6904.985       6904.985
j274       3849.023       4662.000       4662.000       4662.000
j275       3393.389       4424.756       4898.002       4898.002
j276       1488.735       1952.071       2412.243       3704.003
j277       5173.401       6176.001       6176.001       6176.001
j278       2267.230       3695.774       3842.821       3971.002
j279       4878.214       6465.004       6465.004       6465.004
j280       3376.563       4232.655       5761.994       5761.994
j281       3049.550       4167.143       4860.953       5206.005
j282       2869.693       4055.672       4639.992       4639.992
j283       4446.738       6026.995       6026.995       6026.995
j284       2168.558       3763.216       3948.512       4329.003
j285       4081.903       4653.995       4653.995       4653.995
j286       2817.588       3574.061       3795.001       3795.001
j287       1280.822       2044.873       2361.990       3875.999
j288       3418.025       4594.660       5214.996       5214.996
j289       2882.706       4349.859       5271.418       5308.003
j290       2988.069       4559.627       5900.000       5900.000
j291       3955.085       5543.996       5543.996       5543.996
j292       3804.001       3804.001       3804.001       3804.001
j293       2436.195       3614.210       4098.012       4315.999
j294       4555.848       8207.995       8207.995       8207.995
j295       7313.008       7313.008       7313.008       7313.008
j296       4618.001       4618.001       4618.001       4618.001
j297       3841.132       4595.002       4595.002       4595.002
j298       3340.006       3340.006       3340.006       3340.006
j299       2724.998       2724.998       2724.998       2724.998
j300      11191.062      13283.707      13627.997      13627.997
j301       9958.497      10805.994      10805.994      10805.994
j302      10272.251      12083.996      12083.996      12083.996
j303       8392.421       9990.987       9990.987       9990.987
j304      10401.998      10401.998      10401.998      10401.998
j305       7562.571       7929.008       7929.008       7929.008
j306      13105.995      13105.995      13105.995      13105.995
j307       3966.580       7011.898       8155.005       8155.005
j308      13237.995      13237.995      13237.995      13237.995
j309       9716.000       9716.000       9716.000       9716.000
j310       9955.783      12376.985      12376.985      12376.985
j311      14369.996      14369.996      14369.996      14369.996
j312       7158.003       7158.003       7158.003       7158.003
j313       7873.911       8458.006       8458.006       8458.006
j314       6554.412       8695.313       9257.006       9257.006
j315       4572.794       6373.984       6373.984       6373.984
j316      18612.972      18612.972      18612.972      18612.972
j317       7954.014       9034.000       9034.000       9034.000
j318      21263.257      22871.012      22871.012      22871.012
j319      18578.032      18578.032      18578.032      18578.032
j320      29765.021      29765.021      29765.021      29765.021
j321      42885.016      42885.016      42885.016      42885.016
j322      83905.083      83905.083      83905.083      83905.083
-----------------------------------------------------------------
